TF	Number_of_ChIPexp	p_value_mean	K_Virus_0	K_Virus_3	K_Virus_6	K_Virus_9	K_Virus_12	K_Virus_18	K_Virus_24	K_Virus_30	K_Virus_36	K_Virus_48	K_Virus_60	K_Virus_72	K_Virus_D5	K_Virus_D7
SPIB	2	1.10288207973e-08	0.0119582802498	0.0426852409253	6.96692834736e-22	5.17807864544e-13	1.25953338896e-21	0.000326556906697	6.44550037278e-20	0.159032857092	4.69772892345e-13	0.39701760226	1.5002289732e-07	2.61541730855e-06	6.07990947604e-05	0.114036858187
OLIG2	2	0.000548994385433	0.287430304918	0.219750193267	0.0089687410527	0.000383022410725	0.249109103977	0.337063917975	0.0258203113798	0.0426798101516	1.11859890957e-10	1.89326653963e-10	0.00242883882451	0.00755082654056	5.45223705926e-06	5.31365384655e-06
YAP1	1	0.212764274478	0.113992476214	0.332234009819	0.0514210620732	0.301078460846	0.210032613335	0.381206162139	0.157455343844	0.315981682384	0.321238675996	0.191289804178	0.125085933562	0.342684593072	0.251979871041	0.251296463698
MSGN1	1	0.253859571333	0.206730556883	0.466295945132	0.150430140298	0.444887858561	0.401528072638	0.102862531193	0.193373365604	0.0731436264753	0.406351750717	0.492690364287	0.449194311328	0.101949249959	0.30458127551	0.438645735763
CXXC1	1	1.20933050352e-12	1.62768571315e-06	0.000469835401045	4.35544496425e-30	1.64370555757e-14	1.1294709105e-19	0.169805254216	2.90660158117e-06	1.10904675792e-10	6.25510593895e-31	1.90137284657e-10	0.323676476116	2.26872436254e-06	1.04017258025e-19	4.65366905325e-15
TBP	13	3.7656258442e-17	1.32461756702e-08	0.000617165882213	7.94313665757e-46	4.74294715229e-30	4.58229236685e-30	0.260821826041	7.02933616543e-20	2.5074809183e-06	6.05123134284e-35	2.16482959011e-09	0.0492634288016	7.20385181645e-08	6.68556227125e-23	5.71628784566e-17
UBP16	3	0.00508635952742	0.037853172391	0.251998681223	1.44354973862e-05	0.00476576172011	6.88009756123e-05	0.354012843938	0.00160986743134	0.235351483293	1.83254574961e-06	0.0328111706966	0.164568227006	0.230927438562	0.000337696083166	0.00165992844348
DNJC2	1	0.0752174288614	0.217063954973	0.145615056366	0.0236922542409	0.0888445618396	0.195269884822	0.0829645235477	0.0101661634328	0.0485863611674	0.105103499959	0.0845623167385	0.256114260248	0.318085239826	0.0356403491211	0.0135056382823
MYF5	1	0.10415633652	0.0114123019445	0.0730966466931	0.458558536309	0.0197091590732	0.444959357813	0.162109178025	0.215953707653	0.0796205893176	0.0131238396389	0.321457477087	0.438388050135	0.118955822555	0.0593527054269	0.144838087289
MCRS1	2	6.16799322924e-14	2.95805886992e-06	0.0735779993496	3.21776712757e-25	4.46055238499e-16	7.67861013672e-19	0.402394357662	8.18829599096e-08	7.35939808733e-07	2.95221753039e-34	1.70958523238e-17	0.0329442862488	6.7570043629e-09	7.21231105916e-27	2.44736193552e-21
ERG	7	8.93061954249e-16	5.8683058476e-05	0.00098062368666	7.67331198593e-39	4.0865416623e-20	2.69399227492e-34	0.43553873548	3.41877944495e-23	5.08150465183e-05	4.02282732024e-33	7.91990333721e-05	0.000555527168748	1.47974291944e-11	3.00921293605e-23	7.08118625557e-13
FIZ1	1	0.0263248394457	0.0955288713873	0.135011111683	0.0444226869284	0.149308157594	0.0791329370468	0.00422742064537	0.260881182392	0.000231523877504	0.000258064575969	0.0338657283922	0.364246476652	0.0548113924671	0.00924597275968	0.0275263612873
HAND1	1	0.073147846549	0.362963055351	0.445408467647	0.218169123337	0.454965148803	0.185086406977	0.229772287068	0.206854197862	0.218142585277	0.00451158060492	0.00245628739085	0.0218344115448	0.00829155859342	0.0215193762466	0.094435897747
HAND2	3	0.299015562112	0.240734261459	0.274464877969	0.101230444695	0.376748452806	0.492945074786	0.19428470877	0.495722596867	0.242302861807	0.366081574667	0.289326972181	0.235142800332	0.461065549734	0.324193271472	0.423278506975
MITF	1	0.0509552850455	0.180390800758	0.47129878845	0.0590088806494	0.00495521567392	8.90193173176e-05	0.367109476657	0.00984428925921	0.2886004473	0.0910413732244	0.247741560706	0.0229323390196	0.0148980454758	0.313747637772	0.142561298849
MYOG	8	8.3047343211e-16	0.210173241166	0.196901109775	1.42682298595e-15	6.50564664933e-13	0.0291971604045	0.217129796511	1.39482282439e-10	0.0371265300915	1.03555086674e-40	1.8495968068e-40	6.27844173822e-06	2.70667649158e-15	6.24265339216e-34	2.8967089438e-37
GFI1B	1	0.0701164340567	0.418812780179	0.0576770247521	0.0012413379644	0.186233751962	0.230751461111	0.316565238261	0.0742760963369	0.107746239176	0.000732379677731	0.0839755196609	0.438321599157	0.0967771176161	0.0250361821229	0.325555299934
MYOD1	20	2.47806220675e-14	0.287384264078	0.0122801288193	1.8725513382e-12	4.82763959539e-12	0.340291397494	0.338250946569	3.34013426425e-10	0.398729850562	1.33266005367e-34	1.7199739097e-41	1.41482250877e-06	1.05485238854e-13	2.57985783736e-27	7.62909544441e-35
UBF1	3	4.73733732356e-09	0.00205451284442	2.48258405501e-05	1.56189026019e-20	6.60045067076e-05	0.487814798087	0.000329690944922	5.97653766613e-08	7.06994153424e-08	3.50709549556e-26	4.43975908167e-10	0.0118220924273	3.46365091637e-10	6.09071771864e-15	2.06638862761e-07
SPI1	113	5.36769116069e-15	5.7618744367e-07	0.401260095218	7.27616725929e-38	8.9622613078e-31	7.42964062576e-49	9.28587539953e-08	1.13275540832e-34	0.309302970907	7.25810625745e-11	0.023172985153	9.27968082556e-18	0.000228213765034	0.00100426388135	0.126437623296
DMRTB	1	0.000429898149771	0.352229796176	0.00247271277785	3.10985578851e-11	0.000393352715032	0.00225213214258	0.401349012038	0.00100734003702	0.000783435357364	4.28358438404e-10	0.00174888078809	0.299873171294	0.0834839457758	2.2970156026e-05	0.00224920224106
KLF5	4	2.92379571928e-12	0.00792649613842	0.237265427068	2.70229843003e-26	1.90573129549e-14	7.60344902548e-11	0.453003683483	1.58510710235e-08	7.42778949004e-06	1.38032919013e-29	6.53084647503e-17	0.0372364311957	6.66371745331e-08	1.5824586531e-21	2.39965032458e-22
KLF4	16	1.11491273572e-14	0.00639082787723	0.287565407102	1.98219993401e-32	6.05488148837e-14	1.52850003307e-09	0.287095297425	9.16156089145e-08	2.31458026669e-08	6.8550710676e-36	2.68874372057e-22	0.00264013689514	2.19634119978e-10	5.28298618279e-27	3.95662648635e-29
KLF3	3	5.42286937324e-07	0.222744054611	0.0222581842772	1.13935474472e-19	6.64127294826e-08	8.78875659521e-06	0.10286457079	9.86672207639e-05	5.90329914142e-07	1.44173508088e-17	1.58793840119e-05	0.154835737096	0.00332047161732	6.54950247781e-10	1.2489426826e-09
